Id,AyahText,SurahNo,AyahNumber,Comment
648,"Аҳдни бузганлари, Аллоҳнинг оятларига кофир бўлганлари, Набийларни ноҳақ қатл этганлари, ҳамда “Қалбларимиз қулфланган” деганлари учун; Аллоҳ уларнинг куфрлари оқибатида қалбларини муҳрлади, энди ишониб тасдиқ этмайдилар, фақат озчилик мустасно.",4,155,
649,"Куфрлари учун, ҳамда Марямга қарши ўта оғир бўҳтонлари учун;",4,156,
650,"“Аллоҳнинг Расули Масиҳни - Ийсо ибн Марямни - қатл этдик!”, деган сўзлари учун*. Уни қатл этганлари ҳам, хочга михлаганлари ҳам йўқ, лекин шундай шубҳадалар/гумондалар. Бу ҳақда тортишаётганлар ҳам бу борада шак-шубҳада. Бу борада илм/аниқ маълумотлари йўқ бўла туриб, уни қатл этмаганлари аниқ бўла туриб, яна гумонга эргашадилар. (*Хочга михлаб қатл этиш - энг хорловчи қатл тури бўлиб, ундай мақтул абадул-абад унутилишга маҳкум саналади. Уларнинг бу гапларида “Энди Ийсо буткул унутилади” деган маънони ўқиш мумкин. Давомдаги оятлар эса буни рад этади).",4,157,
651,"Аксинча, Аллоҳ Ўзига сари юксалтирди. Аллоҳ Азиз Ҳаким /барча душманлар устидан ғолиб, ҳар бир ишни буюк ҳикмат ила қилади.",4,158,
652,Аҳли Китобнинг/Таврот ва Инжил олимларининг ҳар бири ўлимидан олдин уни/Исони тасдиқ этади. Қиёмат Куни эса у/Исо уларнинг зарарига гувоҳлик беради.,4,159,
653,"Яҳудларнинг зулмлари ва кўпларни Аллоҳнинг йўлидан тўсганлари боис, уларга ҳалол қилинган покиза нарсаларни ҳаром қилдик/чеклов қўйдик.",4,160,
654,"Рибони олганлари учун - ҳолбуки улар ундан қайтарилган эди - одамларнинг молларини ноҳақ йўллар билан еганлари учун, улардаги кофирларга Аламли Азоб ҳозирладик.",4,161,
655,"Лекин улар орасида илмда Росих бўлганлар/теран илмга эга бўлганлар ва муминлар, Сенга ва сендан олдин нозил бўлганга ишониб тасдиқ этадилар. Салотни қоим қиладилар/улардаги Йўл-Йўриқларга эргашадилар, Закотни адо этадилар/уни покиза тутадилар, Аллоҳга ва Охират Кунига ишониб тасдиқ этадилар. Ана ўшаларга яқинда Улуғ Ажр-мукофот берамиз.",4,162,
656,"Биз сенга, худди Нуҳ ва ундан кейинги Набийларга ваҳий қилганимиз каби ваҳй қилдик. Иброҳим, Исмоил, Исҳоқ, Йаъқуб, унинг авлодлари, Ийсо, Айюб, Юнус, Ҳорун ва Сулаймонга ҳам худди шундай ваҳй қилганмиз, Довудга Забурни берганмиз.",4,163,
657,"Улардан бошқа Расулларга ҳам худди шундай ваҳй қилганмиз, улар ҳақида сенга қисса қилиб берганларимиз бор, қисса қилиб бермаганларимиз бор. Мусога Аллоҳ Ўзи сўзма-сўз гапирган.",4,164,
658,"Хушхабар берувчи ва огоҳлантирувчи Расуллар қилиб ваҳй қилганмиз, токи Расуллар келганидан кейин, одамларда Аллоҳга қарши ҳужжат бўлмасин. Аллоҳ Азиз Ҳаким /барча нарсага куч-қудрати етади ва барча ишни етук ҳикмат билан қилади.",4,165,
659,Лекин Аллоҳ сенга индиргани билан гувоҳлик беради. Уни Ўз илми ила нозил қилган. Малаклар/илм эгалари ҳам бунга гувоҳлик берадилар (3:18). Аллоҳнинг Ўзи етарли гувоҳ.,4,166,
660,"Кофир бўлган ва Аллоҳнинг йўлидан тўсганлар, узоқ/қайтиб бўлмас адашиш билан адашибди.",4,167,
661,Кофир бўлган ва Зулм қилганларни Аллоҳ асло кечирмайди ва ҳеч бир йўлга ҳам йўлламайди.,4,168,
662,"Биргина жаҳаннам йўлига йўллайди, унда абадий қоладилар. Аллоҳ учун бу осон.",4,169,
663,"Эй одамлар! Расул сизга Раббингиздан бўлмиш ҳақ ила келди. Иймон келтиринг/ишониб тасдиқланг, ўзингиз учун яхши. Агар куфр келтирсангиз/билиб туриб яширсангиз, Осмонлару-Ердаги борлиқ Аллоҳнинг. Аллоҳ Алим Ҳаким/илм ва ҳикмат эгаси.",4,170,
664,"Эй Аҳли Китоб! Динингизда ғулув кетманг/ҳаддан ошманг ва Аллоҳ ҳақида ҳақдан ўзгани сўйламанг. Масиҳ Ийсо ибн Марям - Аллоҳнинг Расули ва Ўзидан бир Руҳ ила Марямга берган Сўзи/олдиндан ваъда қилиб бергани. Аллоҳга ва Расулларига ишониб тасдиқ этинг. “Худо учта” деманг! Бас қилинг, ўзингиз учун яхши. Аллоҳ - якка-ягона илоҳ, фарзанди бўлишдан пок ва олийдир. Осмонлару-Ердаги барча борлиқ Унинг. Вакил/суяниш учун Аллоҳнинг Ўзи етарли.",4,171,
665,"Ёлғиз Аллоҳга қул бўлишдан Масиҳ ҳам, унинг яқинидаги Малаклар/илм ва куч эгалари/ҳаворийлар ҳам кибр қилмайди. Ким Унга қулликдан бош тортса, бундан кибр қилаётган бўлса, Аллоҳ Ўзи яқинда уларнинг ҳаммасини тўплайди.",4,172,
666,"Имон келтирган ва солиҳ амал қилганларнинг эса, ажр-мукофотларини бекаму-кўст, ва Ўз тарафидан зиёдаси билан беради. Аллоҳга/ёлғиз Унинг Ўзига қуллик қилишдан бош тортиб кибр қилганларни эса ҳали Аламли Азоб билан азоблайди. Ундайлар ўзлари учун Аллоҳдан ўзга на бир валий/йўл кўрсатувчи, ва на ёрдам берувчи тополмайди.",4,173,
667,"Эй одамлар! Сизга Раббингиздан очиқ бурҳон/илоҳий далил келди, ва Биз уни Нури Мубийн нозил қилдик/йўлни ёритгувчи ва очиқ сўзлар билан баён этиб нозил қилдик.",4,174,
668,"Аллоҳга имон келтириб, Унга мустаҳкам суянганларни, Ўз ҳузуридан бўлмиш раҳмат ва фазлига дохил этади, Унга элтувчи Тўғри Йўлни ўргатади.",4,175,
669,"Сендан фатво сўрайдилар. Сен айт: “Калола (4:12) ҳақида фатвони Аллоҳ беради”. Боласи бўлмаган, бир синглиси бор киши ўлганида, ундан қолганининг ярми синглисига. Бундай киши, боласи бўлмаган синглиси ўлганида, мероснинг ҳаммасини олади. Агар маййитнинг икки синглиси бўлса, мероснинг учдан иккисини олади. Агар ворислар эркак-аёл туғишганлар бўлса, бир эркак икки аёл улушича олади. Адашмангиз дея Аллоҳ сизга очиқ-ойдин баён қилмоқда. Аллоҳ барча нарсани билгувчи Зот.",4,176,
670,"Эй иймон келтирганлар, Аҳдларга вафо қилинг. Сизга ўқиб билдирилаётган ҳайвонлардан бошқалари ҳалол қилинган. Ҳаром ойларда эканингизда овни ҳалол қилиб олманг. Аллоҳ ўз иродасига мувофиқ ҳукм қўяди.",5,1,
671,"Эй иймон келтирганлар! Аллоҳнинг шиорларига ҳурматсизлик қилманг: ҳаром ойларга, қурбонлик ҳайвонлари ва ҳадяларга, Раббининг фазли ва ризолигини истаб Байт-ал-Ҳаромга келганларга ҳурматсизлик қилманг. Ҳарамдан чиққач, ов қилишингиз мумкин. Сизни Масжид-ал-Ҳаромдан қайтаргани учун бир қавмга бўлган адоват сизни зулм/ноҳақлик қилишга бошламасин. Яхшилик ва тақвода ўзаро ёрдам беринг, гуноҳ ва адоватда ўзаро ёрдам берманг. Аллоҳга тақво қилинг, Аллоҳнинг таъқиби шиддатли.",5,2,
672,"Сизга ҳаром қилинганлар: ўлакса, қон, чўчқа гўшти, Аллоҳдан ўзгага атаб сўйилган, бўғилиб ўлган, уриб ўлдирилган, тепадан қулаб ўлган, сузиб ўлдирилган ва ҳайвон парчалаб ўлдирган ҳайвонлар, мабодо жони чиқмай туриб сўйиб олсангиз мустасно. Тикилган тошлар/бутлар номига атаб сўйилган ҳайвонлар, ва ўқлар билан фол очиш ҳаром қилинган. Булар фисқ/йўлдан озишдир. Бугун кофирлар динингиздан умидларини уздилар. Улардан қўрқманг, Мендан қўрқинг! Бугун сиз учун динингни камолига етказдим, сизга неъматимни тамомладим - Исломни/Тинчликни ўрнатиш таълимотини сизга дин/ўзаро ҳаёт қонуни сифатида танладим/рози бўлдим. Ким очликдан мажбур қолса, гуноҳга кирмасдан уларни еса, унга гуноҳ йўқ. Аллоҳ кечиримли, раҳмдил.",5,3,
673,"Уларга нималар ҳалол қилинганини сендан сўрайдилар. Сен айт: “Сизга ҳалол қилинган нарсалар - покиза нарсалар. Аллоҳ сизга ўргатганидан ўргатиб етиштирганингиз овчи ҳайвонлар тутиб келтирганини еяверинг, ва уларнинг устида Аллоҳнинг исмини ёд этинг. Аллоҳга тақво қилинг, зеро Аллоҳ ҳисобда ўта тез.",5,4,
674,"Энди сизга яхши ва покиза нарсалар ҳалол қилинган. Китоб берилганларнинг таоми сиз учун ҳалол, сизнинг ҳам таомингиз улар учун ҳалол. Иймонли, иффатли, ҳур аёллар, ва сиздан олдин китоб берилганлардан иффатли, ҳур аёллар - зино қилмасдан ёки махфий дўст тутинмасдан - агар эвазларини маъруф тарзда берсангиз, сиз учун ҳалол. Кимки иймон келтиришдан бош тортса, унинг иши беҳуда кетади ва охиратда зиён кўргувчилардан бўлади.",5,5,
675,"Эй иймон келтирганлар! Салотга қоим бўлганингизда, юзларингиз ва қўлларингизни тирсакларгача ювинг; бошларингиз ва оёқларингизни тўпиқларигача масҳ этинг/силанг. Агар жунуб бўлсангиз, покланинг. Агар касал ёки сафарда бўлсангиз, ёки бирингиз ҳожатдан келган бўлса, ёки аёлларга яқинлашган бўлиб, сув топмасангиз, тоза тупроқ олиб юзингизга ва қўлларингизга суртинг. Аллоҳ сизга танглик туғдиришни истамайди, балки сизни поклашни ва шукур қилишингиз учун сизга Ўз неъматини тамомига етказишни истайди.",5,6,
676,"Аллоҳнинг сизга неъматини ва Унга берган ваъдангизни ёдда тутинг: “Эшитдик ва итоат этдик!”, дегансиз. Аллоҳга тақво қилинг, зеро Аллоҳ дилларда яширилганини билади.",5,7,
677,"Эй иймон келтирганлар, Аллоҳ учун адолат ила гувоҳлик берувчилар бўлинг. Бир қавмга бўлган адоватингиз сизни адолатдан тўсмасин. Адолат қилинг, тақвога энг яқин йўл мана шу. Аллоҳга тақво қилинг. Аллоҳ сизнинг қилаётган ишларингиздан хабардор.",5,8,
678,Иймон келтирган ва солиҳ амал қилганларга Аллоҳ кечирим ва Улуғ ажр-мукофотни ваъда қилган.,5,9,
679,"Оятларимизга кофир бўлган ва уларни ёлғонга чиқарганлар, ана ўшалар жаҳаннам аҳли.",5,10,
680,"Эй иймон келтирганлар! Аллоҳнинг сизга яхшилигини эсланг: Бир қавм сизга қўл узатганида, У уларнинг қўлини қайтарди. Аллоҳга тақво қилинг, имон келтирганлар ёлғиз Аллоҳга суянсинлар.",5,11,
681,"Аллоҳ Исроил ўғилларидан Аҳд олди, ва ораларидан ўн икки нақиб/бошлиқ чиқардик. Аллоҳ деди: “Мен сиз билан биргаман. Агар Салотни қоим қилсангиз/Кўрсатилган Йўлга эргашсангиз ва Закотни адо этсангиз/уни покиза сақласангиз, Расулларимга ишониб, уларга ёрдам берсангиз, ва Аллоҳга чиройли қарз берсангиз, гуноҳларингизни албатта кечираман, ва остидан анҳорлар оққан боғ-роғларга киритаман. Бундан сўнгра кимда-ким нонкўрлик қилса, Тўғри Йўлдан адашибди.",5,12,
682,"Аҳдларини бузгани сабабли уларни лаънатладик ва қалбларини қотириб қўйдик. Улар калималарни асл маъноларидан бурадилар. Ўзларига қилинган Эслатмадан насиба олишни унутдилар. Орасида озчилик мустасно, улардан доимо хоинлик кўрасан. Лекин уларни кечириб боравер, кўнглингга олма, Аллоҳ яхшилик/чиройли амал қилувчиларни яхши кўради.",5,13,
683,"“Биз насронийлармиз”, деганлардан ҳам Аҳд олдик: лекин ўзлари учун қилинган Эслатмадан насиба олишни унутдилар. Шу боис, Қиёмат кунигача улар орасида адоват ва нафрат солиб қўйдик. Яқинда Аллоҳ Ўзи уларнинг ҳунарларини хабар беради.",5,14,
684,"Эй Китоб аҳли, сизга Расулимиз келди - Китобдан яширганларингиздан кўпини очиқлайди, кўпини авф этади/очиқлашсиз қолдиради. Ҳақиқатан, сизга Аллоҳдан Нур ва очиқ-ойдин бир Китоб келди.",5,15,
685,"Аллоҳнинг ризосига эргашганларни унинг ила тинчлик/омонлик йўлларига йўллайди, ва уларни Ўз изни ила зулматлардан нур сари чиқаради ва Тўғри Йўлга йўллайди.",5,16,
686,"“Аллоҳ бу Марям ўғли Масиҳдир” деганлар кофир бўлдилар. Сен айт: “Аллоҳ агар Марям ўғли Масиҳни, унинг онасини ва ер юзидаги барча одамзотни ҳалок қилмоқ истаса, Аллоҳга қарши кимда куч бор?” Осмонлару-Ер ва улар орасидаги борлиқ Унинг. Истаганини яратади, Аллоҳ барча нарсага қодир.",5,17,
687,"Яҳуд ва насоролар деди: “Биз Аллоҳнинг ўғиллари ва ҳабибларимиз/севган халқимиз”. Сен айт: “Нега унда гуноҳларингиз сабабли азоблайди? Йўқ, сиз ҳам У яратган башар/оддий одамларсиз. У истаганини кечиради, истаганини азоблайди. Осмонлару-Ернинг ва улар орасидаги барча нарсанинг эгалиги Унинг, Қайтиш ҳам ёлғиз Унгадир”.",5,18,
688,"Эй Китоб аҳли, Расуллар ораси узилган бир даврда сизга ҳақни баён қилувчи Расулимиз келди, токи сиз: “Бизга на хушхабар бергувчи ва на огоҳлантирувчи келмаган” демагайсиз. Сизга хушхабар бергувчи ва огоҳлантирувчи келди. Аллоҳ барча нарсага қодир.",5,19,
689,"Эсланг, Мусо қавмига деди: “Эй қавмим, Аллоҳнинг сизга неъматини эсланг, орангизда набийлар чиқарди, ва сизни подшоҳлар қилди ва оламлардан/қавмлардан ҳеч бирига бермаганини берди”.",5,20,
690,"Эй қавмим, Аллоҳ сизга ёзган шу Муқаддас Ерга киринг, ортингизга қайтиб кетманг, акс ҳолда зиёнда қоласиз/бой берасиз!",5,21,
691,"Дедилар: “Эй Мусо, у ерда золим ва қаттол бир қавм бор. Токи улар чиқмас экан, биз асло у ерга кирмаймиз. Агар улар чиқсалар, ана шунда кирамиз”.",5,22,
692,"Қўрқаётганлар орасида Аллоҳ неъмат берган икки киши деди: “Улар устига дарвозадан киринг, дарвозадан киргандаёқ, ғолиб бўласиз. Ёлғиз Аллоҳга суянинг, агар мумин бўлсангиз”.",5,23,
693,"Дедилар: “Эй Мусо, улар у ерда экан, биз асло кирмаймиз. Сен ва Раббинг иккингиз боринг жанг қилинг, биз шу ерда ўтирамиз!”",5,24,
694,"Деди: “Эй Раббим, мен ўзимдан ва укамдан бошқага сўзим ўтмаяпти. Ўзинг бу фосиқлар/йўлдан озганлар билан орамизни айиргин”.",5,25,
695,Деди: “Бу Ер уларга ҳаром; қирқ йил бўйича ер юзида сарсон-саргардон юрадилар. Фосиқлар/йўлдан озганлар учун асло қайғурма”.,5,26,
696,"Уларга Одамнинг икки ўғли хабарини ҳаққ ила тиловат қил: Мана иккиси қурбонлик қилди, биридан қабул бўлди ва бошқасидан қабул бўлмади. Деди: “Мен сени ўлдираман”. Деди: “Аллоҳ фақат тақво эгаларидан қабул айлайди.",5,27,
697,"Агар сен мени ўлдириш учун қўл узатсанг, мен сени ўлдириш учун қўл узатмайман. Мен Оламларнинг Раббидан қўрқаман.",5,28,
698,Менинг гуноҳим юкини ва ўз гуноҳинг юкини олишингни ва дўзах аҳлидан бўлишингни тилайман. Зулм қилувчиларнинг жазоси мана шу”.,5,29,
699,"Нафси уни акасини ўлдиришга чорлади, у ўлдирди, ва бой берганлардан бўлди.",5,30,
700,"Аллоҳ акасининг жасадини қандай кўмишни кўрсатиш учун ер қазиган бир қарға юборди. “Ҳолимга вой! Мана шу қарғадек, акамнинг жасадини кўмишга ҳам ожиз қолдимми?” дея афсус-надомат қилди.",5,31,
701,"Ана шунинг учун, Исроил ўғилларига ёздик: “Кимки қотиллик ёки ер юзида бузғунчилик қилмаган бир жонни ўлдирса, у барча одамзотни қатл этган кабидир. Кимки унга ҳаёт бахш этса, у барча одамзотга ҳаёт бахш этган кабидир”. Расулларимиз уларга очиқ баён этилган оятлар билан келдилар, аммо шундан кейин ҳам уларнинг кўпи Ер юзида ҳаддан ошиб келмоқда.",5,32,
702,"Аллоҳга ва Расулига қарши уруш очганларнинг, ҳамда Ер юзида бузғунчилик ила югуриб-елувчиларнинг топажак жазоси шу: улар ё қатл этилади, ё осиб ўлдирилади, ё қўл-оёқлари қарама-қарши кесилади, ёки юртларидан сургун қилинади. Ана шу - дунёдаги шармандалик, Охиратда эса уларга Улуғ Азоб бор.",5,33,
703,"Аммо улар устига қодир бўлишингиздан олдин тавба қилиб қайтганлар мустасно. Билингки, Аллоҳ Ғафур Раҳим /кечиримли, раҳмдил.",5,34,
704,"Эй иймон келтирганлар, Аллоҳга тақво қилинг, Унга қурбат/яқинлик йўллари изланг ва нажот топиш учун Унинг йўлида жидду-жаҳд қилинг.",5,35,
705,"Кофир бўлганлар эса, агар Ер юзидаги барча нарса ва унинг мисли уларнинг бўлса-ю, уни Қиёмат азобидан қутулиш учун ўтасалар ҳам, қабул этилмайди. Уларга Аламли Азоб бор.",5,36,
706,"Оташдан чиқмоқчи бўладилар, лекин чиқолмайдилар. Уларга Доимий Азоб бор.",5,37,
707,"Ўғрилик қилган эркак ва аёлни, қилмишлари учун Аллоҳдан бир жазо сифатида, кучларини/имконларини* чекланг. Аллоҳ Азиз Ҳаким /куч-қудрат ва ҳикмат/ҳукм эгаси. (*оятда АЙД - куч 38:45, 9:29, 48:10)",5,38,
708,"Кимки содир этган зулмидан сўнг тавба қилиб қайтса ва ислоҳ этса, Аллоҳ ҳам унга қайтади. Аллоҳ Ғафур Раҳим /кечиримли, раҳмдил.",5,39,
709,"Осмонлару-Ернинг Мулки/Подшоҳлиги Аллоҳнинг эканини билмасмидинг? У истаганини азоблайди, истаганини кечиради. Аллоҳ барча нарсага қодир.",5,40,
710,"Эй Расул, “Иймон келтирдик” дея оғзида айтиб, қалблари ишонмаганлар орасида куфрда пойга қилувчилар сени хафа қилмасин. Яҳудийлар орасида ёлғонларга қулоқ солувчи, ва сенинг ҳузурингга келмаган қавмга қулоқ солувчилар бор. Улар калималарни асл маъноларидан бурадилар: “Агар сизга шу берилса, олинглар, агар берилмаса, ҳазир бўлинглар!” дейишади. Аллоҳ кимга фитнани ирода этган бўлса, бас унинг учун Аллоҳга қарши ҳеч нарсанг йўқ. Ана ўшаларнинг қалбини Аллоҳ поклашни истамаган. Улар учун дунёда шармандалик, Охиратда эса Улуғ Азоб бор.",5,41,
711,"Улар ёлғонларга қулоқ соладилар, ҳаром ейдилар. Агар сенинг ҳузурингга келсалар, улар орасида ҳукм қил ёки юз ўгир. Агар юз ўгирсанг ҳам, улар сенга асло зарар етказолмаслар. Агар ҳукм қилсанг, улар орасида адолат-ла ҳукм қил. Аллоҳ адолат қилгувчиларни суяди.",5,42,
712,"Ахир олдиларида Таврот турган экан, ва унда Аллоҳнинг ҳукми бор экан, яна қандай қилиб сени ҳакам қиладилар-у, сўнгра яна юз ўгириб кетадилар?! Улар мумин эмаслар.",5,43,
713,"Ҳақиқатан, Тавротни Биз нозил қилганмиз, Тўғри Йўл ва Нур ундадир, таслим бўлмиш/тинчлик ўрнатувчи Набийлар яҳудийларга ундан ҳукм чиқариб келганлар, раббонийлар ва олимлар Аллоҳнинг китобини муҳофаза этиш тайинлангани учун унинг ила ҳукм қилиб келганлар, ва бунга гувоҳ бўлиб келганлар. Одамлардан қўрқманг, Мендан қўрқинг: Менинг оятларимни оз эвазга сотманг. Кимки Аллоҳнинг нозил қилгани билан ҳукм қилмаса, ана ўшалар кофирлардир.",5,44,
714,"Унда уларга жонга-жон, кўзга-кўз, бурунга-бурун, қулоққа-қулоқ, тишга-тиш, жароҳатлар учун қасос/тенгликни ёздик. Ким кечириб юборса, бу ўзи учун каффорат. Кимки Аллоҳнинг нозил қилгани билан ҳукм қилмаса, ана ўшалар золимлардир.",5,45,
715,"Уларнинг изидан, олдиларидаги Тавротни тасдиқлаган Марям ўғли Исони юбордик. Унга ичида Тўғри Йўл ва Нур бўлмиш Тавротни тасдиқлаган ва тақво эгаларига ваъз-насиҳат бўлган Инжилни бердик.",5,46,
716,"Токи Инжил аҳли, унда Аллоҳнинг нозил қилгани билан ҳукм қилсинлар. Кимки Аллоҳнинг нозил қилгани билан ҳукм қилмаса, ана ўшалар фосиқлардир/йўлдан озганлардир.",5,47,
717,"Сенга ҳам Китобни ҳақ ила - олдинги Китобларни тасдиқлагувчи ва уни ҳимоя қилгувчи ўлароқ - нозил қилдик. Улар орасида Аллоҳнинг нозил қилгани билан ҳукм қил. Сенга келган ҳақдан сўнг уларнинг ҳаволарига эргашма. Сиздан ҳар бирингиз учун/ҳар уч Китоб аҳли учун қонун ва йўл тайинладик. Аллоҳ истаса, сизни бир уммат қиларди, лекин сизга бергани билан синамоқ учун. Бас, яхши амалларга шошилинг. Барчангиз Аллоҳга қайтасиз. Сиз ихтилоф қилган нарсаларнинг хабарини Унинг Ўзи беради.",5,48,
718,"Ораларида Аллоҳнинг нозил қилгани билан ҳукм қил, ҳаволарига эргашма, ва сени Аллоҳ нозил қилганининг бир қисмидан фитнага солишларидан ҳазир бўл. Агар юз ўгириб кетсалар, билки, Аллоҳ баъзи гуноҳлари сабабли уларга мусибатни ирода этган. Ҳақиқатан, одамларнинг кўпи фосиқ/йўлдан озган.",5,49,
719,Жоҳилият ҳукмини истайдиларми йўқса? Қатъий имонга эга кишилар учун Аллоҳдан-да яхшироқ ҳукм қилувчи борми?,5,50,
720,"Эй иймон келтирганлар, яҳуд ва насороларни валий/йўл кўрсатувчи қилиб олманглар! Улар бир-бирининг валийларидир. Сиздан ким уларни ўзига валий қилиб олса, демак ўшалардан биридир. Аллоҳ бундай золимларни Тўғри Йўлга солмайди.",5,51,
721,"Кўраяпсан, қалбларида марази бўлганлар: “Бизга бирор мусибат етишидан чўчиймиз!” дея уларга шошмоқда. Балки, Аллоҳ фатҳ/ғалаба берар ёки ўз тарафидан бирор иш келтирар-да, улар ўз нафсларида/ичларида сир тутаётган нарсаларидан пушаймон бўларлар,",5,52,
722,"Мўминлар ҳам дейдики: “Сиз билан бирга эканларига жон-жаҳди билан Аллоҳга қасам ичганлар анавиларми? Барча ишлари беҳуда кетди, ўзлари эса зиёнда қолдилар”.",5,53,
723,"Эй иймон келтирганлар! Сиздан кимки ўз динидан юз ўгирса, Аллоҳ тезда бошқа бир қавмни келтиради: уларни яхши кўради, улар ҳам Уни яхши кўради; улар мўминларга хоксор, кофирлардан устун; улар Аллоҳ йўлида жидду-жаҳд қиладилар ва ҳеч бир маломатчининг маломатидан қўрқмайди. Ана шу - Аллоҳнинг фазли, уни Ўзи истаганига беради. Аллоҳ Васиъ Алим /кенг-мўл бергувчи ва билгувчи.",5,54,
724,"Сизнинг валийингиз фақат Аллоҳ, Расули ва муминлар, улар Рукуъ/тўлиқ бўйсунган ҳолида Салотни қоим этадилар/Кўрсатилган Йўлга эргашадилар ва Закотни адо этадилар/уни покиза тутадилар.",5,55,
725,"Кимки Аллоҳни, Расулини ва мўминларни валий тутса, Аллоҳнинг ҳизби - ана ўшалар ғолиб бўлгусидир.",5,56,
726,"Эй иймон келтирганлар! Сиздан олдин Китоб берилганлар ва кофирлар орасида динингизни эрмак ва ўйин қилувчиларни валий тутманг; агар мумин бўлсангиз, Аллоҳга тақво қилинг.",5,57,
727,"Салотга нидо қилганингизда, уни эрмак ва ўйин қиладилар. Сабаби - улар ақл ишлатмайдиган қавм.",5,58,
728,"Сен айт: “Эй Китоб аҳли, наҳотки Аллоҳга иймон келтирганимиз ва бизга нозил қилинганига ва биздан олдин нозил қилинганига иймон келтирганимиз, ҳамда кўпчилигингиз фосиқлар/йўлдан озган бўлганингиз сабабли бизни айбласангиз/ёмон кўрсангиз?”",5,59,
729,"Сен айт: “Аллоҳнинг наздида бундан-да ёмонроқ борар жойни айтайми сизга? Кимга Аллоҳ лаънат ва ғазаб қилган бўлса, кимларни маймун ва тўнғизлар қилиб қўйган бўлса, кимлар Тоғутларга қуллик/хизмат қилиб кетган бўлса, ана ўшаларнинг сўнгги борар жойи яна-да ёмонроқ, ва Тўғри Йўлдан яна-да адашганроқ”.",5,60,
730,"Сизга келганларида дедилар: “Иймон келтирганмиз”, ҳолбуки кирганда ҳам куфр билан кирганлар, чиққанда ҳам у билан чиққанлар. Уларнинг беркитаётганини Аллоҳ Ўзи яхшироқ билади.",5,61,
731,"Уларнинг кўпларини гуноҳ, адоват ва ҳаромхўрликда ўзаро югуриб-елаётганини кўрасан. Қанчалар ёмон бу ишлари!",5,62,
732,Раббоний ва Аҳборлар уларни гуноҳ сўзлардан ва ҳаром ейишдан қайтарсалар бўлмасмиди!? Қанчалар ёмон бу ҳунарлари!,5,63,
733,"Яҳудлар деди: “Аллоҳнинг қўли боғланган”. Ўзларининг қўллари боғланган, бу айтгани учун улар лаънатланганлар. Йўқ, Унинг иккала қўли ҳам очиқ, истаганидай инфоқ этади. Раббингдан сенга нозил қилингани, уларнинг кўпида фақат Туғён ва Куфрни орттиради. Биз улар орасига Қиёмат кунига қадар адоват ва нафрат солиб қўйдик. Ҳар сафар уруш оловини ёқсалар, Аллоҳ ўчириб қўяди. Ер юзида бузғунчиликка шошадилар. Аллоҳ эса бузғунчиларни яхши кўрмайди.",5,64,
734,"Агар Китоб аҳли иймон келтириб тақво қилганида эди, уларнинг ёмонликларини кечириб, неъмати мўл боғ-роғларга киритган бўлар эдик.",5,65,
735,"Агар улар Тавротни, Инжилни ва Раббидан ўзларига нозил бўлганни қоим қилганларида эди, устларидан ва оёқлари остидан ризқлардан еган бўлардилар. Улар орасида бир муътадил уммат бор, лекин аксарияти - қилмишлари қанчалар ёмон!",5,66,
736,"Эй Расул, сенга Раббингдан нозил қилинганни етказ; агар бундай қилмасанг, Унинг Рисолатини етказмаган бўласан. Аллоҳ сени одамлардан асрайди. Аллоҳ кофирларни йўлга солмайди.",5,67,
737,"Сен Айт: “Эй Китоб аҳли, Тавротни, Инжилни ва Раббингиздан сизга нозил қилинганини қоим қилмас экансиз, ҳеч нарсага арзимайсиз”. Сенга Раббингдан нозил қилингани уларнинг аксарида Туғён ва Куфрни зиёда қилади. Шундай экан, бу кофирлар гуруҳи учун қайғурма.",5,68,
738,"Иймон келтирганлар - яҳудийлар, собиийлар ва насронийлар орасидан Аллоҳга ва Охират кунига иймон келтирган ва солиҳ амал қилганлар учун хавф-хатар йўқ, улар маҳзун бўлмайдилар.",5,69,
739,"Исроил ўғилларидан Аҳд олдик, уларга Расуллар юбордик. Ҳар гал бир Расул уларга нафслари истамаган нарса билан келганида, баъзисини ёлғончига чиқардилар, баъзисини қатл этдилар.",5,70,
740,"Улар ўйладиларки, ҳеч қандай фитна бўлмайди, шу боис кўру-кар бўлиб олдилар. Кейин Аллоҳ яна уларга қайтди. Кейин улардан кўплари яна кўру-кар бўлиб олди. Аллоҳ уларнинг қилаётган ишларини кўриб туради.",5,71,
741,"Ҳақиқат шуки, “Аллоҳ бу Марям ўғли Масиҳ” деганлар кофир бўлдилар, ҳолбуки Масиҳ деган: “Эй Исроил ўғиллари, менинг Раббим ва сизнинг Раббингиз бўлмиш Аллоҳга қуллик/хизмат қилинглар! Ким Аллоҳга шерик қўшса, Аллоҳ унга Жаннатни ҳаром қилган, унинг борар жойи дўзах, бундай золимларга ҳеч бир ёрдамчи йўқ”.",5,72,
742,"Ҳақиқат шуки, “Аллоҳ Учтанинг Учинчиси” деганлар кофир бўлдилар, яккаю-ягона Илоҳ бор, ундан ўзга илоҳ йўқ. Агар улар айтаётган гапларидан тийилмаса, уларнинг кофир бўлганларига Аламли Азоб етади.",5,73,
743,"Аллоҳга тавба қилиб қайтсалар, унинг кечиримини истасалар бўлмасми? Аллоҳ Ғафур Раҳим /кечиримли, раҳмдил.",5,74,
