"No","Text","Izohli","SurahNo","AyahNo"
"7:150","Мусо қавмига ғазаб ва афсус ила қайтиб. “Мендан кейин ортимдан қилган ишларингиз қанчалар ёмон? Раббингизнинг Амрини шоширдингизми?” деди ва лавҳаларни ерга ташлаб, инисининг бошидан тутиб торта бошлади. У деди: “Эй Онамнинг ўғли, бу одамлар мени заиф қолдиришди ва сал қолса ўлдиришарди. Душманларга мени кулгига қолдирма, мени золимлар билан бирга санама”.","",,
"7:151","У деди: “Эй Раббим, мени ва инимни кечиргин, бизни Ўз раҳматингга дохил айла, Сен раҳмдилларнинг раҳмдилисан”.","",,
"7:152","Бузоқни/олтинни олганларни эса, бу дунёда Раббидан ғазаб ва хорлик таъқиб этади! Ёлғон уйдирувчиларни Биз ана шундай жазолаймиз.","",,
"7:153","Ёмонликлар қилган, сўнг тавба қилиб қайтган ва иймон келтирганларга, Раббинг бундан кейин ҳам Ғафкр Раҳим/кечиримли, раҳмдил.","",,
"7:154","Мусо ғазабдан қайтгач, лавҳаларни олди. Уларнинг нусхасида Раббидан қўрққанлар учун Тўғри Йўл ва Раҳмат бор.","",,
"7:155","Мусо ўз қавмидан етмиш нафар йигитни Биз белгилаган вақт/жой учун танлаб олди. Уларни силкиниш/зилзила тутгач, деди: “Эй Раббим, истасанг уларни ҳам мени ҳам олдинроқ ҳалок қилар эдинг. Наҳотки орамиздаги нодонларнинг қилмиши учун бизни ҳалок қилсанг? Бу фақат Сенинг синовинг, у билан Ўзинг истаганни адаштирасан. Бизнинг валийимиз/йўл кўрсатувчимиз Сенсан. Бизларни кечиргин, бизларга раҳм айлагин! Сен кечирувчиларнинг яхшисисан!”","",,
"7:156","Биз учун бу дунёда яхшилик ёзгин, охиратда ҳам. Биз Сенинг сари йўл тутганмиз. У деди: “Мен азобимга Ўзим истаганни гирифтор қиламан, Раҳматим эса барча нарсани қамраган, Мен уни/раҳматимни фақат тақво қилган ва Закотни адо этган/ширкдан пок бўлган, ҳамда оятларимизга имон келтирганлар учун ёзаман”.","",,
"7:157","Уммий Набийга эргашувчилар, уни ўзларидаги Таврот ва Инжилда ёзилган ҳолда топадиган ўша Набийга, уларни маъруфга буюрадиган, мункардан қайтарадиган, покни ҳалол санайдиган, чиркинни ҳаром санайдиган, уларни юклардан, ва устларидаги занжирлардан халос этадиган* Набийга эргашувчилардир. Унга ишониб, уни қўллаб-қувватлайдиган, унга ёрдам берадиган ва у билан бирга нозил бўлган Нурга эргашувчилар - ана ўшалар нажот топадилар. (*Уйдирилган иловалардан халос этади ва аввалги Иброҳимий динга чорлайди)","",,
"7:158","Айт: “Эй одамлар, Осмонлару-Ернинг эгаси бўлмиш, Ундан ўзга илоҳ бўлмаган, ҳаётни ҳам ва ўлимни ҳам Ўзи яратган Аллоҳнинг барчангизга юборган Расулиман. Аллоҳга ва Расулига - Уммий Набийга ишонинг, у ўзи Аллоҳга ва Унинг Сўзларига ишонади. Тўғри Йўлда юриш учун унга эргашинг”.","",,
"7:159",Мусонинг қавми орасида ҳақ ила йўл кўрсатувчи ва ҳақ ила адолат қилувчилар ҳам бор.,"",,
"7:160","Биз уларни ўн икки уруғға айирдик. Мана қавми ундан сув истади, шунда Биз Мусога ваҳй этдик: “Асоинг билан тошни зарб айла/ўрнидан қўзғат”. Бас, тошдан ўн икки чашма/айн чиқди. Ҳар бир қабила қаерда ичишни биларди. Уларнинг устига булутдан соя қилдик ва уларга Манно билан Салво нозил қилдик. “Сизга берган ризқнинг покларидан енг”. Улар Бизни мазлум қилмади, балки ўз-ўзларига зулм қилдилар.","",,
"7:161","Эсланг, уларга дейилди: “Мана шу шаҳарни маскан тутинг. Унинг қаеридан истасангиз, еяверинг, ва “Авф эт”, дея ёлворинг, эшикдан сажда ҳолида киринг. Биз хатоларингизни кечирамиз ва яхшилик қилувчиларга яна-да зиёда қиламиз”.","",,
"7:162","Улар орасидаги золимлар эса, ўзларига айтилган сўзни бошқасига ўзгартирди. Бас, зулм қилганлари учун  уларга самодан/устларидан рижз/азоб юбордик.","",,
"7:163"," Улардан денгиз соҳилидаги шаҳар ҳақида сўра. Улар Сабтга ҳурматсизлик қилиб, ҳаддларидан ошди. Сабт этган кунлари улар бундан бездилар, Сабт этмаган кунлари келмасди. Уларнинг фосиқлиги/йўлдан озганлиги билан ана шундай имтиҳон қиламиз. (*Сабт - дунё ишларини тўхтатиб, тамоман дин ва охират ишларига бағишланган кун. Оятда Ҳут - безиш, тўйиш, истаксизлик ҳисси - 68:48)",*,,
"7:164","Улардан бир гуруҳ деди: “Аллоҳнинг Ўзи ҳалок қиладиган ёки шиддатли азоб берадиган қавмга нега ваъз-насиҳат қиляпсиз?” Улар деди: “Раббингиз ҳузурида бизга узр бўлсин, ҳамда булар тақво қилиб тийилишлари учун”.","",,
"7:165","Улар ўзларига эслатилганларни унутгач, Биз ёмонликдан қайтарганларни қутқардик; зулм/ноҳақлик қилганларни эса йўлдан озганлиги учун шиддатли азоб билан ушладик.","",,
"7:166","Улар қайтарилган нарсалардан кибр ила воз кечганида, уларга дедик: “Хор маймунлар бўлинг!” (2:65)","",,
"7:167","Эсланг, Раббинг уларга эълон қилди: “Қиёмат Кунигача уларга азобнинг энг ёмони билан азоблайдиган қавмларни юборади”. Раббинг таъқиби ўта тез, Ғафур Раҳим/кечиримли ва раҳмдил.","",,
"7:168","Уларни ер юзида фирқаларга парчалаб юбордик. Орасида солиҳлар ҳам, бошқалар/ундан пастлар ҳам бор. Улар қайтишлари учун  уларни яхшиликлар ва ёмонликлар билан имтиҳон қилдик.","",,
"7:169","Кейин, улар ўрнига халафлар келди, улар Китобга ворис бўла туриб, мана шу тубан дунё матоҳини олардилар. “Биз барибир кечириламиз!” дейишади. Агар яна унга ўхшаш бошқа бирор манфаат келса, уни ҳам олаверардилар. Ахир улардан Китоб Аҳди олингани, Аллоҳ ҳақида ҳаққдан ўзгани демаслик ҳақида Китобдан ўқиган эмасмиди? Тақво эгалари учун Охират диёри яхшироқ. Ақл ишлатмайсизми?","",,
"7:170","Китобни маҳкам тутиб, Салотни қоим қилганлар/унга эргашганлар эса, Биз бундай ислоҳ этувчиларнинг ажрини зое қилмаймиз.","",,
"7:171","Эсланг, уларнинг устига тоғни соя каби кўтардик/энг устунларини тоғға чиқардик, ва улар устларига воқеъ бўлди деб ўйладилар. “Сизга берганимни маҳкам ушланг ва тақво қилиб тийилиш учун ундагиларни ёдда тутинг”.","",,
"7:172","Эсланг, Раббинг Одам ўғилларидан, уларнинг ортидан зурриётини тутди ва уларни ўзларига гувоҳ қилди: “Раббингиз Мен эмасми?” “Ҳа, Раббимиз Сенсан, биз бунга гувоҳмиз!” Токи Қиёмат куни: “Биз бундан бехабар эдик” демагайсиз.","",,
"7:173",Ёки: “Ота-боболаримиз ҳам олдинлари Аллоҳга шерик қўшганлар ва биз уларнинг зурриётимиз. Ботил амални содир этганларнинг қилмишлари сабабли бизни ҳалок қиласанми?” демагайсиз.,"",,
"7:174",Қайтишлари учун Биз оятларни ана шундай баён қиламиз.,"",,
"7:175","Шу хабарни уларга ўқиб бер: Биз бир кишига оятларимизни етказдик, у эса улардан четланди. Шайтон уни ўзига эргаштирди, ва тойганлардан бўлди.","",,
"7:176","Истасак, уни улар/оятларимиз билан юксалтирган бўлардик, лекин у абадий қоладигандек ерга ёпишиб олди, ўз ҳавосига эргашди. У бамисоли ит каби: агар унинг устига борсанг ҳам, тилини осилтиради, қўйиб юборсанг ҳам, тилини осилтиради. Оятларимизни ёлғон санаганларнинг мисоли шу. Тафакур қилишлари учун мана шу қиссани/тенглашни келтир.","",,
"7:177",Оятларимизни ёлғон санаган ва ўзларига зулм қилганларнинг мисоли қанчалар ёмон.,"",,
"7:178","Аллоҳ кимни Тўғри Йўлга йўлласа, ана ўшалар Тўғри Йўлдагилардир. Кимни адаштирса, зиёнда қолувчилар/бой берувчилар ана ўшалар.","",,
"7:179","Биз кўплаб Жинн ва Инсни ўстириб етиштирдик дўзахий бўлишди; уларда қалб бор-у, англамайди; кўз бор-у, кўрмайди; қулоқ бор-у, эшитмайди. Улар бамисоли чорва моллари каби, ҳатто ундан-да баттар йўлини йўқотган. Ғофилу-гумроҳлар ана ўшалар.","",,
"7:180","Энг яхши исмлар ёлғиз Аллоҳнинг. Ўша исмлар билан дуо қилинг Унга, Унинг исмлари ҳақида эгриликка оғғанларни тарк этинг, улар ўз ишлари учун яқинда жазоланадилар.","",,
"7:181","Бизнинг яратганларимиз орасида бир уммат бор, ҳаққ ила йўл кўрсатади ва ёлғиз унинг ила адолат қилади.","",,
"7:182",Оятларимизни ёлғон санагувчиларни яқинда ўзлари билмаган тарафдан ушлаймиз.,"",,
"7:183","Уларга муҳлат бераман. Ҳақиқатан, Менинг макрим ўта кучли.","",,
"7:184","Наҳотки тафаккур қилиб кўрмаганлар, ахир ҳамроҳларида ҳеч мажнунлик йўқ-ку, балки очиқ огоҳлантирувчи холос.","",,
"7:185","Осмонлару-Ернинг Мулки/Подшоҳлигига, ва Аллоҳнинг  яратганларига, ва эҳтимол уларнинг ҳам ажаллари/вақти-соати яқин эканига қарамайдиларми? Бундан кейин қайси ҳадисга/гапга ишонмоқдалар?","",,
"7:186","Аллоҳ кимни адаштирса, уни йўлга солгувчи йўқ. Уларни ўз Туғёнида адашиб-улоқиб юришига ташлаб қўяди.","",,
"7:187",Сендан Қиёмат Соати қачон келишини сўрайдилар. Сен айт: “Унинг илми фақат Раббим ҳузурида”. Вақти-соати келганида Унинг Ўзи тажаллий эттиради. У Осмонлару-Ер учун оғир. Сизга у тўсатдан келади. Гўё сен биладигандек сендан сўрайдилар. Сен айт: “Унинг илми ёлғиз Аллоҳнинг ҳузурида. Лекин одамларнинг кўпи билмайди”.,"",,
"7:188","Сен айт: “Ўзимга фойда ёки зарар етказиш қўлимда эмас, Аллоҳнинг хоҳлаганидан бошқа. Агар ғайбни билганимда, яхши нарсалардан кўпайтирган бўлардим, ёмон нарсалар ҳам тегмасди менга. Мен фақатгина огоҳлантирувчиман, иймон келтирганларга хушхабар бергувчиман холос.","",,
"7:189","У сизни бир хил аслдан/жондан яратди, ва сукунат-ором олиши учун ундан жуфтини етиштирди; у жуфтини қоплаганда, у енгил юк кўтариб, ташиб юрди. Юки оғирлашгач эса, иккиси Рабби Аллоҳга дуо қилдилар: “Агар бизга солиҳ фарзанд берсанг, мудом шукрини адо этгаймиз”.","",,
"7:190","Қачонки уларга солиҳ фарзанд берганида, берилганда Аллоҳга шерик қўшдилар. Аллоҳ уларнинг қўшаётган шерикларидан олийдир.","",,
"7:191","Ҳеч нарса яратмаган, балки яралмишларни шерик қўшадими?","",,
"7:192","На ўзларига, на ўзгаларга ёрдам бера олмайдиганларни шерик қўшадими?","",,
"7:193","Агар уларни Тўғри Йўлга даъват қилсангиз, улар сизга эргашмаслар. Уларни даъват қилсангиз ҳам, жим турсангиз ҳам, барибир.","",,
"7:194","Аллоҳдан ўзга дуо қилганларингиз сиз каби бандалар, агар дуода содиқ бўлсангиз, чақиринг уларни, сизга жавоб беришсин.","",,
"7:195","Уларнинг юришга оёқлари борми, ёки ушлашга қўллари борми, ёки кўришга кўзлари борми, ёки эшитишга қулоқлари бор эканми? Уларга айт: “Қани чақиринг шерикларингизни, сўнг менга қарши макр қилинг/тузоқ қуринг, менга муҳлат ҳам берманг”.","",,
"7:196",Менинг учун валий/йўл кўрсатувчи - Китобни нозил қилган Аллоҳдир. Солиҳ/тўғри бандаларини Унинг Ўзи асрайди.,"",,
"7:197","Ундан ўзга дуо қилганларингиз эса, на сизга, на ўзларига ёрдам бера олмайдилар.","",,
"7:198","Уларни Тўғри Йўлга чақирсангиз, эшитмайдилар. Уларни  қараб турибди, деб ўйлайсан, лекин кўрмаслар.","",,
"7:199","Ўзингга авфни лозим тут/кечиримли бўл, маъруфга буюр ва жоҳилларга парво қилма.","",,
"7:200","Қачонки, Шайтондан бирор ёмон фикр сени чалғитса, Аллоҳдан паноҳ истагин; Унинг Ўзи Самиъ Алим/Эшитгувчи Билгувчи.","",,
"7:201","Тақво эгалари, қачонки Шайтондан бирор чалғитиш бўлса, Эслатма олади ва ҳақни кўради/ҳақ ва ботилни ажратади.","",,
"7:202","Уларнинг акалари эса эгри йўлга тортишда мадад беради, асло қўймайди.","",,
"7:203","Уларга оят келтирмасанг, дейди: “Ўзинг тузворсайдинг”. Сен айт: “Мен фақат Раббимдан келган ваҳйга эргашаман. Бу - Раббингиздан очиқ далиллар/басират, иймон келтирганлар учун Тўғри Йўл ва раҳматдир”.","",,
"7:204","Қуръон қироат қилинганда, унга қулоқ солинг, сизга раҳм қилиниши учун сукут сақланг.","",,
"7:205","Раббингни тонгда ва шомда эслагин, ўз ичингда, тазарруъ ила хуфёна, баланд бўлмаган сас-ла ёд айла; бунга ғофил/бепарволардан бўлмагин!","",,
"7:206","Раббинг ҳузуридагилар Унга қуллик/хизмат қилишдан кибр қилмайдилар, Уни поклаб-улуғлайдилар, ва Унга сажда қиладилар/тўлиқ таслим бўладилар.","",,
"8:1","Сендан Нафллар/Ғанимат зиёдаси ҳақида сўрайдилар; Сен айт: “Нафллар Аллоҳ ва Расулига оид. Аллоҳга тақво қилинг ва орангизни тузатинг, агар мумин бўлсангиз, Аллоҳга ва Расулига бўйсунинг”. ","",,
"8:2","Муминлар - Аллоҳ эслатилганда, қалблари титрайди, Унинг оятлари ўқилганда, имони зиёда бўлиб, Раббига таваккул қиладилар,","",,
"8:3","Салотни қоим қиладилар/Кўрсатилган Йўлга эргашадилар, ва Биз берган ризқлардан инфоқ этадилар.","",,
"8:4","Ҳақиқий муминлар мана шулар, улар учун Рабби ҳузурида даражот, кечирим ва мўл ризқлар бор.","",,
"8:5","Раббинг сени уйингдан ҳақ йўлида чиқарганида, муминлардан баъзилари ёқтирмаган эди.","",,
"8:6","Ҳақ очиқ билдирилганидан кейин ҳам, гўё ўлимга ҳайдалгандек қараш қилиб, сен билан тортишган эди.","",,
"8:7","Мана, Аллоҳ сизга икки тоифадан бирини ваъда қилмоқда, сиз эса заифроғи сизники бўлишини хоҳладингиз. Ҳолбуки, Аллоҳ Унинг Сўзи ила ҳаққни ҳаққи-рост бўлишини ва кофирларнинг кети узилишини истайди.","",,
"8:8","Ҳақни ҳаққи-рост бўлишини, ва гарчи кофирлар буни истамасалар-да, ботилнинг ботилга чиқишини ирода қилади.","",,
"8:9","Мана, Раббингиздан мадад сўраяпсиз, У ҳам ижобат қилди: “Мен сизга кетма-кет минг Малак ила мадад бераман”.","",,
"8:10",Аллоҳ сизнинг қалбингиз хотиржам бўлиши учун буни мужда қилди. Нусрат ёлғиз Аллоҳдан. Азиз Ҳаким ёлғиз Аллоҳнинг Ўзи.,"",,
"8:11","Аллоҳ Ўз ҳузуридан бир хотиржамлик ўлароқ, сизларни енгил уйқу билан қоплади; ва самодан сув туширди, токи у билан сизларни покласин, сизлардан шайтоннинг шубҳаларини кетказсин, қалбларингизни боғласин, ва у билан қадамларни собит айласин.","",,
"8:12","Мана, Раббинг малакларга ваҳй қилмоқда: “Мен сизлар билан биргаман, имон келтирганларни собит айланг. Кофир бўлганларнинг қалбига эса қўрқув соламан; бўйинларига уринг, уринг уларнинг бўғимларига/бармоқларига!” (3:154)","",,
"8:13","Ана шундай, зеро улар Аллоҳга ва Расулига осий бўлдилар. Ким Аллоҳга ва Расулига осий бўлса, Аллоҳнинг таъқиби шиддатли.","",,
"8:14","Ана шундай, энди татинг уни; Кофирларга Олов азоби бор.","",,
"8:15","Эй имон келтирганлар! Кофирлар билан тўқнашганда, уларга орқа ўгирманг.","",,
"8:16","Кимки ўша кунда уларга орқа ўгирса - жанг қилиш учун бир тарафга чекиниш ёки бошқа жангчиларга қўшилиш бўлса, мустасно - у Аллоҳнинг ғазаби ила қайтибди, унинг борар жойи жаҳаннам, қанчалар ёмон қайтиш жойи у!","",,
"8:17","Сиз ўлдирмадингиз уларни, балки Аллоҳ ўлдирди; Отганингда сен отмадинг, балки Аллоҳ отди. Муминлар учун гўзал синов бўлсин учун. Аллоҳ Самиъ Алим/эшитгувчи билгувчи.","",,
"8:18",Аллоҳ кофирларнинг макрини/тузоғини ана шундай хорлайди.,"",,
"8:19","Фатҳ/Ғалаба истаётган/сўраётган бўлсангиз, мана фатҳ/ғалаба келди сизга. Агар тўхтасангиз/бас қилсангиз, ўзингиз учун яхши. Агар яна қайтиб кетсангиз, Биз ҳам қайтамиз - жамоангиз қанча кўп бўлмасин, сизга ҳеч қандай ёрдам бера олмайди. Аллоҳ муминлар билан бирга.","",,
"8:20","Эй имон келтирганлар! Аллоҳга ва Расулига бўйсунинг, эшитиб туриб ундан юз ўгирманг.","",,
"8:21","Эшитмаган ҳолда, “Эшитдик”, деганлар каби бўлманг.","",,
"8:22",Аллоҳ наздида махлуқларнинг ёмони - ақл ишлатмайдиган кар ва соқовлардир.,"",,
"8:23","Агар уларда бирор хайр маълум бўлганида, Аллоҳ уларга эшиттирарди. Эшиттирганида ҳам, яна юз ўгириб бурилиб кетардилар.","",,
"8:24","Эй имон келтирганлар, қачонки сизга ҳаёт бергувчи/сизни жонлантирувчи нарсага чақирганида, Аллоҳ ва Расулининг даъватига ижобат этинг. Билингки, Аллоҳ инсон билан унинг қалби орасигача кириб боради/энг яширин сирларини билади. Билингки, Унинг ҳузурига тўпланасизлар.","",,
"8:25","Орангизда фақатгина зулм/ноҳақлик қилганлар билан чекланмаган фитнадан эҳтиёт бўлинг/тақво қилинг; Билингки, Аллоҳнинг таъқиби шиддатли.","",,
"8:26","Мана, сиз озчилик эдингиз, ер юзида заиф қилинган эдингиз, одамлар сизни тутиб олиб кетишидан қўрқар эдингиз. Аллоҳ сизга бошпана берди, Ўз нусрати/ёрдами билан қўллади, шукур қилишингиз учун покиза нарсалар билан ризқлантирди.","",,
"8:27","Эй имон келтирганлар, Аллоҳга ва Расулига хиёнат қилманг, ва билиб туриб омонатларга хиёнат қилманг.","",,
"8:28","Билингки, молларингиз ва фарзандларингиз сиз учун синовдир/фитнадир, Улуғ ажр-мукофот Аллоҳнинг ҳузуридадир.","",,
"8:29","Эй имон келтирганлар! Агар Аллоҳга тақво қилсангиз, Фурқон/ҳақ ва ботилни фарқлай олиш басиратини беради, ёмонликларингизни ўчиради, сизни мағфират айлайди. Аллоҳ улуғ фазл эгасидир.","",,
"8:30","Мана инкорчилар сени тутиб боғлаш учун, ёки ўлдириш ёки ҳайдаб чиқариш учун макр/тузоқ қурмоқда эдилар. Улар макр қилаётир, Аллоҳ ҳам макр қилаётир. Макр қилувчиларнинг яхшироғи Аллоҳнинг Ўзидир.","",,
"8:31","Уларга оятларимиз тиловат қилинганида, дедилар: “Эшитганмиз, агар истасак, бунинг мислини биз ҳам айта олардик. Бу ўтганларнинг афсонаси холос”.","",,
"8:32","Мана, улар дедилар: “Эй Аллоҳ, агар бу Сенинг ҳузурингдан ҳаққ бўлса, осмондан устимизга тош ёғдиргин ёки бизга Аламли Азоб келтиргин”.","",,
"8:33","Токи сен улар орасида экансан, Аллоҳ уларни азобламайди. Улар кечирим истасалар, Аллоҳ уларни нега азобласин?","",,
"8:34","Модомики Масжид-ал-Ҳаромнинг валийлари бўлмай туриб, ундан тўсар эканлар, Аллоҳ нега азобламасин уларни? Унинг валийлари фақат тақво эгалари, лекин уларнинг кўпи билмайди.","",,
"8:35","Уларнинг Байт ёнидаги салоти/эргашишлари фақат ҳуштак ва қарсакдан* иборат эди. “Бас, куфрингиз/ҳаққни яширганингиз учун тотинг шу азобни”. (*Салотлари/эргашишлари - Қуръон оятларининг ўқилиши ва тингланишига қарши шовқин-сурон кўтариш эди - 41:26)","",,
"8:36","Кофир бўлганлар ўз молларини Аллоҳнинг йўлидан тўсиш учун сарфлаган ва сарфлайди. Тез кунда бу улар учун ҳасрат бўлади, сўнг мағлуб бўладилар. Кофир бўлганлар жаҳаннам сари ҳайдаладилар,","",,
"8:37","Аллоҳ покдан нопокни кетказади/айиради, нопокни эса бир-бирининг устига қўйиб, ҳаммасини дўзахга улоқтиради. Зиён кўргувчилар ана ўшалардир.","",,
"8:38","Куфр келтирганларга айтки, агар тўхтасалар, ўтмишлари кечирилади. Агар яна қайтиб кетсалар, ўтмишдагиларнинг суннати зотан келтириб ўтилди.","",,
"8:39","Фитна бўлмасдан, дин ёлғиз Аллоҳга хос бўлгунигача уларга қарши жанг олиб боринг! Агар тўхтасалар, Аллоҳ уларнинг нималар қилаётганини кўриб турибди.","",,
"8:40","Агар юз ўгирсалар, билингки, Мавлонгиз/мададкорингиз ёлғиз Аллоҳдир. У қанчалар яхши Мавло, қанчалар яхши нусрат/ёрдам берувчи!..","",,
"8:41","У ҳолда, ниманики ғанимат олсангиз, билингки, бешдан бири Аллоҳга ва Расулига, яқинларга, мискинларга, кўчада қолганларга; агар Аллоҳга ишонсангиз ҳамда Фурқон/Ажралиш Кунида - икки жамоа тўқнашган кунда - Қулимизга нозил қилганимизга ишонсангиз. Аллоҳ барча нарсага қодир/барча нарсанинг ўлчовини белгилаб қўйган.","",,
"8:42","Эсланг, сиз водийнинг яқин чеккасида эдингиз, улар эса узоқ чеккасида, карвон эса сизлардан қуйироқда. Агар келишиб олганингизда ҳам, бунчалик аниқ ўрин/пайтда дуч келмас эдингиз. Лекин Аллоҳ ишни шундай қилади, токи ҳалок бўлган аниқ далил билан ҳалок бўлсин, яшаган ҳам аниқ далил билан яшасин. Аллоҳ Самиъ Алим/эшитгувчи билгувчидир.","",,
"8:43","Аллоҳ тушингда уларни оз кўрсатди. Агар уларни кўп кўрсатганида эди, қўрқиб бу ишда талашиб-тортишган бўлардингиз. Лекин Аллоҳ сизни бундан сақлади. Ҳақиқатан, Унинг Ўзи диллардагини билади.","",,
"8:44","Эсланг, сиз улар билан тўқнашдингиз, Унинг Ўзи кўзингизда уларни оз қилди, уларнинг кўзида эса сизни оз қилди, токи Аллоҳ қилиниши керак бўлган ишни битирсин. Ишлар ёлғиз Аллоҳга қайтарилади.","",,
"8:45","Эй имон келтирганлар! Қачонки бир қавм билан тўқнашсангиз, собит туринг, нажот топишингиз/муродга етишингиз учун Аллоҳни кўп ёд этинг.","",,
"8:46","Аллоҳга ва Расулига бўйсунинг, ўзаро тортишманг, акс ҳолда қўрқувга тушасиз ва руҳингиз йўқолади. Сабр қилинг, Аллоҳ сабр қилгувчилар билан бирга.","",,
"8:47","Диёрларидан одамларга керилиш ва риё учун чиққан, ва одамларни Аллоҳнинг йўлидан қайтарганларга ўхшаманг. Аллоҳ уларнинг қилмишларини қуршаб олади.","",,
"8:48","Эсланг, Шайтон/Йўлдан оздирувчи уларга қилмишларини чиройли қилди: “Бугун одамлар ичида сизни енга оладигани йўқ, мен ўзим сиз билан биргаман!” Қачонки икки гуруҳ бир-бирини кўргач, ортига ўгирилиб деди: “Мен сизлардан узоқман. Сизлар кўрмаганни кўряпман, Аллоҳдан қўрқаяпман”. Аллоҳнинг таъқиби шиддатли.","",,
"8:49","Эсланг, мунофиқлар ва қалбида мараз бўлганлар демоқдалар: “Буларни дини алдаб қўйибди”. Кимки Аллоҳга суянса, Азиз Ҳаким/барчадан устун куч-қудрат ва ҳикмат эгаси.","",,
"8:50","Бир кўрсанг эди... Мана кофир бўлганларнинг жонини олаётиб, Малаклар/куч эгаси жангчилар юзларига ва орқаларига урмоқда: “Тотинг куйдирувчи азобни!”","",,
"8:51","Ана шундай, бу сизнинг қилмишларингиз туфайли, зеро Аллоҳ қулларга асло ноҳақлик қилмайди.","",,
"8:52","Худди Фиръавн хонадони ва улардан олдингилар каби. Улар Аллоҳнинг оятларига кофир бўлдилар, Аллоҳ ҳам уларни гуноҳлари билан ушлади. Аллоҳ куч-қувват Эгаси ҳамда таъқиби шиддатли Зотдир.","",,
"8:53","Ана шундай, зеро ҳеч бир қавм ўзини ўзгартирмас экан, Аллоҳ ҳам уларга берган неъматини ўзгармайди; Аллоҳ Самиъ Алим/эшитгувчи билгувчидир.","",,
"8:54","Худди Фиръавн хонадони ва улардан олдингилар каби... Улар Раббининг оятларини ёлғонга чиқарди, уларни гуноҳлари учун ҳалок қилдик, Фиръавн хонадонини ғарқ этдик. Ҳаммалари золим эдилар.","",,
"8:55","Аллоҳнинг наздида жонзотларнинг ёмони - кофир бўлганлардир, улар иймон келтирмайдилар.","",,
"8:56","Сен билан битим тузиб, ҳар гал битимни бузади ва ҳеч бундан тийилмайди/тақво қилмайди.","",,
"8:57","Агар жангда уларни қўлга оладиган бўлсанг, уларга шундай зарба берки, уларнинг ортидагилар ҳам ибрат олсин.","",,
"8:58","Агар бирор қавмнинг хиёнат қилишидан чўчиётган бўлсанг, сен ҳам уларга айни нарсани эълон қил*; Аллоҳ хоинларни яхши кўрмайди. (*Улар битимни бузсалар, сен тарафдан ҳам битимга амал қилиш соқит бўлишини маълум қил)","",,
"8:59","Кофир бўлганлар, ўзиб кетамиз деб ўйламасин. Улар ҳеч кимни ожиз қолдира олмайдилар.","",,
"8:60","Уларга қарши имкон қадар куч-қувват ҳозирланг, жанг учун боғлаб боқилган отларни тайёр тутинг. Бу билан сиз Аллоҳнинг душмани ва ўз душманингизни қўрқувга соласиз, ҳамда улардан бошқа сиз билмайдиган, балки Аллоҳ биладиган кимсаларни ҳам қўрқувда тутасиз. Аллоҳ йўлида нимани инфоқ этсангиз, сизга тўлиқ-тўкис қайтарилади ва сизга ноҳақлик қилинмайди.","",,
"8:61","Агар улар тинчликка мойил бўлсалар, сен ҳам мойил бўл, ва Аллоҳга суян. Унинг Ўзи Самиъ Алим/Эшитгувчи Билгувчи.","",,
"8:62","Агар сени алдамоқчи бўлсалар, сен учун Аллоҳ етарли. У сени Ўз ёрдами ва муминлар ила қўллади,","",,
"8:63","ва уларнинг қалбларини яраштирди. Агар Ер юзидаги барча нарсани инфоқ этганингда ҳам, уларнинг қалбларини яраштира олмасдинг, лекин Аллоҳ уларни яраштирди. Ҳақиқатан У Азиз Ҳаким/барча нарсага куч-қуввати ва ҳикмати етади.","",,
"8:64","Эй Набий, сен учун ва муминлар орасидан сенга эргашганлар учун Аллоҳнинг Ўзи етарли.","",,
"8:65","Эй Набий, муминларни жангга ташвиқ эт. Агар сиздан сабр-матонатли йигирма киши бўлса, икки юз кишини мағлуб этади. Агар сиздан юзтаси бўлса, кофир бўлганлардан мингтасини мағлуб этади, зеро улар англаб етиб, тўлиқ қамрай олмайдиган қавм.","",,
"8:66","Энди Аллоҳ сиздан енгиллатди, сизда заифлик борлигини биларди. Агар сиздан сабрли-матонатли юз киши бўлса, икки юз кишини мағлуб этади. Сиздан минг киши бўлса, Аллоҳнинг изни ила икки минг кишини мағлуб этади. Аллоҳ сабр эгалари билан бирга.","",,
"8:67","Ер юзида оғир келмай туриб, асир олиш ҳеч бир Набийга ярашмайди. Сиз бу дунё бойлигини истайсиз, Аллоҳ охиратни хоҳлайди. Аллоҳ Азиз Ҳаким/қудратли, ҳикматли.","",,
"8:68","Агар олдинроқ Аллоҳдан Китоб/Қонун* бўлмаганида эди, олган фидяингиз учун сизга Улуғ Азоб бўларди. (*билмасдан ёки унутиб қодир этилган хато учун авф этиш қонунияти 2:286)","",,
"8:69",Олган ғаниматдан ҳалол ва покиза ҳолда енглар ва Аллоҳга тақво қилинг. Аллоҳ Ғафур Раҳим/кечиримли раҳмдил.,"",,
"8:70","Эй Набий, қўлингдаги асирларга айт: “Агар Аллоҳ қалбингизда хайр борлигини билса, сиздан олиб қўйилганидан яхшироғини беради, ва сизни кечиради. Аллоҳ Ғафур Раҳим/кечиримли раҳмдил.","",,
"8:71","Агар сенга хиёнат қилмоқчи бўлсалар, улар олдинроқ Аллоҳга ҳам хиёнат қилганлар, бас уларга қарши имкон яратди. Аллоҳ Алим Ҳаким/билгувчи ҳикматли.","",,
